NOME_PARLAMENTAR,Agricultura,Assistência Social,Ciência e Tecnologia,Comércio e Serviços,Cultura,Defesa Nacional,Desporto e Lazer,Direitos da Cidadania,Gestão Ambiental,Indústria,Organização Agrária,Outros,Saneamento,Saúde,Segurança Pública,Trabalho,Urbanismo
ABEL SALVADOR MESQUITA JUNIOR,0,0,0,0,0,3000,0,0,0,0,0,3929,0,0,0,0,0
ABELARDO CAMARINHA,0,11665.61,234296.3,0,0,0,0,0,234296.3,234296.3,0,0,1274496.28,0,0,0,1508792.58
ABELARDO LUPION,0,206073.89,0,12500,12500,0,0,0,0,0,184792.62,0,132487.12,0,0,0,132487.12
ABERLADO CAMARINHA,0,0,0,0,0,0,0,0,0,0,0,0,70769.45,0,0,0,70769.45
ACELINO POPO,0,925698.77,0,44556.25,44556.25,0,252265.23,0,0,0,925698.77,0,1546956.55,0,0,0,1546956.55
ACIR GURGACZ,0,88947,0,0,0,920420.5,0,0,0,0,88947,0,0,1200.53,0,0,0
ADALBERTO CAVALCANTI,0,0,0,13000,13000,0,30250,0,0,0,0,0,0,0,0,0,0
ADELSON BARRETO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADEMIR CAMILO,0,7000,0,31824.19,31824.19,0,256720.51,0,0,0,0,0,598573.47,1050,0,0,598573.47
ADILTON SACHETTI,0,0,0,0,0,0,6250,0,0,0,0,231944.88,47180.15,0,0,0,47180.15
ADRIAN,32400,0,0,231270,231270,0,10000,0,0,0,0,62000,160773,0,0,0,160773
AECIO NEVES,0,0,0,0,0,0,0,0,0,0,0,0,103507.73,6000,0,0,103507.73
AELTON FREITAS,494527.77,25871.25,0,32461.71,32461.71,0,148731.53,0,0,0,0,1e+05,636917.65,22129.98,0,0,636917.65
AFONSO FLORENCE,0,132754,0,0,10860,0,32596.8,0,0,0,132754,30870,297757.54,42400.4,0,0,297757.54
AFONSO HAMM,1439735.29,3500,0,79539.24,79539.24,0,26100,0,0,0,0,0,1717437.34,4120,0,0,1717437.34
AFONSO MOTTA,19250,0,0,0,5000,0,17500,0,0,0,0,0,90578.4,10000,0,0,90578.4
AGUINALDO RIBEIRO,6250,0,0,3425,3425,0,6532.5,0,0,0,0,0,66652.49,0,0,0,66652.49
AKIRA OTSUBO,1380.8,0,0,49512.02,49512.02,0,0,0,0,0,0,0,1706388.91,0,0,0,1706388.91
ALAN RICK,0,0,0,0,0,0,4402.58,0,0,0,0,0,0,0,0,0,0
ALBERTO FILHO,92844.21,0,0,150060,150060,0,63750,0,0,0,0,403680.5,90664,0,0,0,90664
ALCEU MOREIRA,1500783.14,358656.8,0,173295.57,173295.57,0,430247.57,0,0,101000,0,2050,5000,117070,0,0,5000
ALESSANDRO MOLON,0,0,63367.32,0,0,0,0,364514.73,0,0,0,0,0,0,364514.73,0,0
ALEX CANZIANI,189033.94,4000,329988,9700,9700,0,66406,0,329988,329988,0,25000,51406.45,76579.2,0,0,381394.45
ALEX MANENTE,0,0,0,26227.27,26227.27,0,0,0,0,0,0,0,0,0,0,0,0
ALEXANDRE BALDY,36950,0,0,120,120,0,0,0,0,0,0,0,42529.26,0,0,0,42529.26
ALEXANDRE LEITE,0,0,0,27839.19,27839.19,0,19179.71,0,0,0,0,0,1069668.54,156516.32,0,0,1069668.54
ALEXANDRE ROSO,228788.74,9500,0,30696.29,30696.29,0,26355.19,0,0,0,0,0,611798.15,21036,0,0,611798.15
ALEXANDRE SANTOS,12500,20000,0,73750,73750,0,52500,10113.55,0,0,0,0,915178.87,0,10113.55,0,915178.87
ALEXANDRE SERFIOTIS,0,0,0,0,0,0,26250,0,0,0,0,0,0,0,0,0,0
ALEXANDRE SILVEIRA,116437.98,0,0,11179.91,11179.91,0,896.08,0,0,0,0,0,321466.46,0,0,0,321466.46
ALEXANDRE TOLEDO,0,0,0,0,0,0,0,0,0,0,0,110000,135589.86,0,0,0,135589.86
ALFREDO KAEFER,560517.32,0,0,60259.48,60259.48,0,223005.25,0,0,0,0,0,539259.58,0,0,0,539259.58
ALFREDO NASCIMENTO,0,0,0,0,0,225252.46,0,0,0,0,0,17500,0,0,0,0,0
ALFREDO SIRKIS,0,0,0,0,0,0,0,0,290000,0,0,0,0,0,0,0,0
ALICE PORTUGAL,0,81048,0,9762.1,9762.1,0,345603.72,0,0,0,81048,196428.41,259642.66,0,0,0,259642.66
ALIEL MACHADO,168300,0,0,0,8000,0,86775,0,0,0,0,0,0,0,0,0,0
ALINE CORREA,0,23795.79,0,0,0,0,10445,0,0,0,0,22500,1763963.78,66240,0,0,1763963.78
ALMEIDA LIMA,11250,0,3912.39,385982.27,385982.27,0,72462.86,0,3912.39,3912.39,0,0,63816.26,0,0,0,67728.65
ALOYSIO NUNES FERREIRA,0,3040,0,0,0,0,0,0,0,0,0,0,0,111097.43,0,0,0
ALTINEU CORTES,0,0,0,0,0,0,0,0,0,0,0,0,323361,0,0,0,323361
ALUISIO MENDES,0,0,0,0,0,0,0,0,0,0,0,112587.85,0,0,0,0,0
ALVARO DIAS,345504.6,96566.88,259969.34,0,0,0,81813.91,0,259969.34,259969.34,0,44000,82192.6,31466.65,0,0,342161.94
AMAURI TEIXEIRA,0,186190.27,0,6250,12500,0,127198.04,0,0,0,186190.27,609588.43,92175.84,16000,0,0,92175.84
AMIR LANDO,14772.73,0,0,0,0,183205.02,0,0,0,0,0,0,0,0,0,0,0
ANA AMELIA,801838.72,0,0,355800.05,355800.05,0,6250,0,0,0,0,0,1922185.09,182902.39,0,0,1922185.09
ANA PERUGINI,0,0,0,0,0,0,0,0,0,0,0,0,132384.64,0,0,0,132384.64
ANA RITA,691444.54,280627.12,0,0,0,0,157846.56,0,8695.65,0,19869,142244.37,50000,92109.84,0,56642,50000
ANDERSON FERREIRA,373950,0,0,260218.95,260218.95,0,0,0,0,0,0,0,0,6117212.13,0,0,0
ANDRE  VARGAS,280792.54,324593,0,82299.47,89299.47,0,1022125.99,0,0,0,324593,0,2046113.69,69250,0,0,2046113.69
ANDRE DE PAULA,0,0,0,0,0,0,0,0,0,0,0,0,36500,0,0,0,36500
ANDRE FIGUEIREDO,10000,0,12123,34445.19,34445.19,0,184411.98,0,12123,12123,0,0,294947.06,0,0,0,307070.06
ANDRE FUFUCA,0,0,0,13310.35,13310.35,0,0,0,0,0,0,18250,0,0,0,0,0
ANDRE MOURA,78525,0,0,107729.63,107729.63,0,65075.24,0,0,0,0,0,224241,0,0,0,224241
ANDRE ZACHAROW,383266.42,15463.91,0,57295.73,162688.08,0,121270.7,0,0,0,0,6600,241630.22,0,0,0,241630.22
ANDREIA  ZITO,0,0,0,42595.66,42595.66,0,20667.48,0,0,0,0,4500,102366.1,19200,0,0,102366.1
ANDRES SANCHEZ,0,0,0,0,0,0,15600,0,0,0,0,0,0,0,0,0,0
ANGELA PORTELA,0,0,0,195000,195000,807860.6,0,0,0,0,0,0,0,0,0,0,0
ANGELIM,0,0,0,0,0,0,1296.14,0,0,0,0,0,0,0,0,0,0
ANGELO AGNOLIN,99328.33,0,0,145606.57,145606.57,0,48625,0,0,0,0,0,205576.07,171425.85,0,0,205576.07
ANGELO VANHONI,9875,41200,0,608137.38,616831.19,0,76484.56,0,0,0,9950,0,1379759.11,0,0,0,1379759.11
ANIBAL DINIZ,0,300,2648.68,121875,121875,223491.58,590070.59,94570.38,0,0,300,70552.56,1900,0,94570.38,40057.48,1900
ANIBAL GOMES,57200,0,0,550806.98,550806.98,0,0,0,0,0,0,0,409546.74,75000,0,0,409546.74
ANSELMO DE JESUS,0,92077.83,0,0,0,158103.52,0,0,0,0,92077.83,0,0,1500,0,0,0
ANTHONY GAROTINHO,51241.31,0,0,0,0,0,2957531.63,0,0,0,0,0,79432.8,40267,0,0,79432.8
ANTONIA LUCIA,0,0,0,0,0,264184.59,63300,0,0,0,0,0,0,0,0,0,0
ANTONIO ANASTASIA,0,0,0,0,29539.38,0,0,0,0,0,0,0,14717.42,0,0,0,14717.42
ANTONIO ANDRADE,300514.5,6200,0,0,0,0,32500,0,0,0,0,0,265697.29,0,0,0,265697.29
ANTONIO AURELIANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTONIO BALHMANN,27200,0,200886.32,75487.32,75487.32,0,164859.32,0,200886.32,200886.32,0,2751,114577.24,2875374.49,0,0,315463.56
ANTONIO BRITO,40909.04,57432,0,33958.75,33958.75,0,48334.77,160000,0,0,57432,0,213998.01,0,160000,0,213998.01
ANTONIO BULHOES,0,0,0,580358.06,580358.06,0,0,15455,0,0,0,0,5399206.84,3891264.72,15455,0,5399206.84
ANTONIO CARLOS MENDES THAME,0,0,0,0,0,0,0,0,0,0,0,0,0,157266.21,0,0,0
ANTONIO CARLOS RODRIGUES,0,189129.1,0,0,92167.32,0,177770.65,0,0,0,189129.1,0,109457.87,69000,0,0,109457.87
ANTONIO CARLOS VALADARES,6686.8,0,57350,233555.37,291720.37,0,14391.22,0,57350,57350,0,1500,166619.99,0,0,0,223969.99
ANTONIO IMBASSAHY,5850,0,0,0,0,0,86192.08,0,0,0,0,0,539414.4,666.66,0,0,539414.4
ANTONIO JACOME,0,0,0,6250,6250,0,13000,0,0,0,0,0,8550,0,0,0,8550
ANTONIO ROBERTO,0,204240,0,6250,16351,0,0,0,0,0,201840,550000,841602.83,0,0,0,841602.83
ANTONIO RUSSO,0,13940,0,0,0,0,0,0,0,0,13940,0,0,30000,0,0,0
ARACELY DE PAULA,260928.99,0,0,0,0,0,21931.43,0,0,0,0,0,47882.01,0,0,0,47882.01
ARIOSTO HOLANDA,0,0,237400,15384.7,15384.7,0,15719,0,65000,65000,0,0,52929.43,0,0,0,117929.43
ARLINDO CHINAGLIA,315933.35,0,273925,98650.12,98650.12,0,42421.52,0,41200,41200,0,0,228650.38,0.1,0,0,269850.38
ARMANDO MONTEIRO,87810,0,0,265872,265872,0,22000,0,0,0,0,4500,349257.37,6117212.13,0,0,349257.37
ARMANDO VERGILIO,20000,0,0,93497.5,93497.5,0,316239.4,0,0,0,0,247582,451482.82,93025,0,0,451482.82
ARNALDO FARIA DE SA,133513,0,0,412987.72,412987.72,0,1676714.03,0,0,0,0,0,656516.04,2160,0,0,656516.04
ARNALDO JARDIM,125620,0,0,23324.56,23324.56,0,967123.63,0,0,0,0,0,802998.51,19830,0,0,802998.51
ARNALDO JORDY,82703.07,0,0,27175,27175,0,0,0,0,0,0,5000,8000,0,0,0,8000
ARNON BEZERRA,25000,0,475525.66,196287.15,217087.15,0,0,0,475525.66,475525.66,0,0,0,0,0,0,475525.66
AROLDE DE OLIVEIRA,0,0,0,346048.56,346048.56,0,335186.47,0,0,0,0,0,1000,0,0,0,1000
ARTHUR LIRA,0,0,50000,977,977,0,0,0,50000,50000,0,0,537194.85,0,0,0,587194.85
ARTHUR OLIVEIRA MAIA,960769.77,0,0,22500,22500,0,117033.11,0,0,0,0,0,88011.06,577704.36,0,0,88011.06
ARTUR BRUNO,2500,0,5103,0,16041,0,281052.24,0,5103,5103,0,0,296983.16,0,0,0,302086.16
ASDRUBAL BENTES,113220.64,0,0,0,0,0,235882.55,0,0,0,0,0,830985.53,2770.16,0,0,830985.53
ASSIS CARVALHO,0,0,0,22500,22500,0,43237.15,0,0,0,0,732476.72,1590580.4,0,0,0,1590580.4
ASSIS DO COUTO,353120.3,565722.77,0,71750,71750,0,123966.55,0,0,60000,565722.77,314220.78,610091.77,0,0,0,610091.77
ASSIS MELO,127279.74,164000,0,66580.74,148657.46,0,1607018.04,0,0,0,164000,24000,1268535.75,5120,0,0,1268535.75
ATAIDES OLIVEIRA,0,0,5000,5000,5000,0,0,0,5000,5000,0,0,108379.3,2700,0,0,113379.3
ATILA LINS,0,0,0,40296.62,40296.62,606013.68,28442.26,0,0,0,0,0,0,0,0,0,0
ATILA LIRA,0,0,0,0,0,0,0,0,0,0,0,0,81332.02,134182.5,0,0,81332.02
AUDIFAX,262633.52,0,262173.91,371875,371875,0,0,0,262173.91,262173.91,0,0,0,0,0,0,262173.91
AUGUSTO COUTINHO,82100,0,0,43771,43771,0,42910,0,0,0,0,45000,313781.39,10412480.93,0,0,313781.39
AUREO,0,130300,0,0,0,0,140154.34,0,0,0,0,0,498724.08,20408.16,0,0,498724.08
BALEIA ROSSI,0,6250,0,0,0,0,471.72,0,0,0,0,0,17848.34,0,0,0,17848.34
BANCADA DE PERNAMBUCO,0,0,0,0,0,0,0,0,0,0,0,0,0,12234424.26,0,0,0
BEBETO,0,0,0,0,0,0,78804.35,0,0,0,0,0,0,0.03,0,0,0
BENEDITA DA SILVA,32280,104349.25,0,55000,55000,0,512460.3,0,0,0,0,501590.83,57692.27,0,0,8399.7,57692.27
BENEDITO DE LIRA,0,0,0,346175.85,356903.85,0,44012.78,0,0,0,0,0,304777.64,0,0,0,304777.64
BENITO GAMA,8000,0,0,10000,10000,0,2925,0,0,0,0,0,74372.92,0,0,0,74372.92
BENJAMIN MARANHAO,64777.5,0,42244.65,12683,12683,0,70267.5,0,42244.65,42244.65,0,0,49116.95,0,0,0,91361.6
BERINHO BANTIM,0,0,0,0,0,518152.18,0,0,0,0,0,0,0,0,0,0,0
BERNARDO SANTANA DE VASCONCELLOS,390763.14,0,0,34438.21,34438.21,0,152691.32,0,0,0,0,0,365382.68,90000.68,0,0,365382.68
BETINHO GOMES,0,0,0,0,0,0,0,0,0,0,0,0,14718.15,0,0,0,14718.15
BETINHO ROSADO,0,117688.51,53950,32925.05,32925.05,0,223926.41,0,53950,53950,117688.51,201,151031.26,95269.62,0,0,204981.26
BETO ALBUQUERQUE,0,64533,0,527397.5,527397.5,0,540538.4,795578.33,0,0,64533,0,292980.11,92500,795578.33,0,292980.11
BETO FARO,0,0,0,0,0,0,380257.66,0,0,0,0,206635.6,109928.69,117500,0,0,109928.69
BETO MANSUR,5409,0,0,0,0,0,0,0,0,0,0,0,4730325.64,42949.6,0,0,4730325.64
BETO ROSADO,0,0,0,0,0,0,0,0,0,0,0,0,34630,0,0,0,34630
BETO SALAME,0,0,0,0,0,0,0,0,0,0,0,0,276938.18,0,0,0,276938.18
BIFFI,39745,0,0,0,37370,0,50500,0,0,0,0,33863.89,1533222.03,1719887.45,0,0,1533222.03
BILAC PINTO,49250,0,0,0,0,0,128007.26,0,0,0,0,0,376891.48,0,0,0,376891.48
BLAIRO MAGGI,4451.05,0,0,95557.98,95557.98,0,0,0,0,0,0,0,694300.81,0.01,0,0,694300.81
BOHN GASS,547182.54,991033.55,0,25000,25000,0,229004.33,0,0,0,961033.55,0,407104.82,73198.04,0,0,407104.82
BONIFACIO DE ANDRADA,0,0,1250000,0,0,0,0,0,0,0,0,0,225432.29,0,0,0,225432.29
BRUNA FURLAN,0,0,0,0,43681.54,0,97500,62104,0,0,0,0,723449.54,0,62104,0,723449.54
BRUNNY,0,0,0,0,0,0,23092.5,0,0,0,0,0,0,0,0,0,0
BRUNO ARAUJO,407417,0,152283,96847.26,96847.26,0,419106.33,0,1e+05,1e+05,0,0,65595,50000,0,0,165595
BRUNO COVAS,0,0,0,0,0,0,0,0,0,0,0,0,9885.8,0,0,0,9885.8
CABO DACIOLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CABO SABINO,0,0,0,0,0,0,0,0,0,0,0,0,1900,0,0,0,1900
CACA LEAO,0,0,0,0,0,0,0,0,0,0,0,0,3080,0,0,0,3080
CAETANO,0,0,0,0,0,0,12500,0,0,0,0,0,0,0,0,0,0
CAMILO COLA,115759.11,0,0,0,0,0,156357.77,0,0,0,0,0,0,0.02,0,0,0
CANDIDO VACCAREZZA,0,0,0,139732,139732,0,257110.7,0,0,0,0,0,1011009.92,0,0,0,1011009.92
CAPITAO AUGUSTO,0,0,0,0,0,0,8500,0,0,0,0,0,36999.08,100,0,0,36999.08
CARLINHOS DE ALMEIDA,0,0,0,0,0,0,158264.79,0,0,0,0,2000,0,0,0,0,0
CARLOS ALBERTO LEREIA,25000,0,0,78000,78000,0,40000,0,0,0,0,0,230667.32,27025,0,0,230667.32
CARLOS ANDRADE,0,0,0,0,0,0,0,0,0,0,0,1498.83,0,0,0,0,0
CARLOS BEZERRA,28544.67,0,1e+05,22136.5,22136.5,0,0,0,0,0,0,735262.93,0,0.79,0,0,0
CARLOS BRANDAO,171176,0,0,0,0,0,0,0,0,0,0,46000,0,0,0,0,0
CARLOS EDUARDO CADOCA,30000,0,169650.13,82861.14,180493.14,0,42160,0,169650.13,169650.13,0,0,188462.51,6137212.13,0,0,358112.64
CARLOS GOMES,19250,0,0,29946.28,29946.28,0,355952.76,0,0,0,0,0,0,0,0,0,0
CARLOS MAGNO,90565.66,106938.44,0,0,0,620003.85,33976.36,0,0,0,49038.77,0,0,0,0,0,0
CARLOS MANATO,0,10425,0,12500,12500,0,364210.28,0,0,0,0,89321.25,0,0,0,0,0
CARLOS MELLES,47281.83,0,0,15822.73,15822.73,0,113803.16,0,0,0,0,5000,624611.07,57784.96,0,0,624611.07
CARLOS ROBERTO,0,0,0,0,0,0,0,0,0,0,0,0,1993682.67,0.2,0,0,1993682.67
CARLOS SAMPAIO,0,0,0,0,0,0,5133330.49,0,0,0,0,0,36869.29,0,0,0,36869.29
CARLOS SOUZA,25000,0,0,0,0,173575,246040.48,0,0,0,0,0,6900,0,0,0,6900
CARLOS ZARATTINI,56264.29,0,0,14128,14128,0,1017044.56,60848,0,0,0,21010.1,1684525.49,0,60848,5625.85,1684525.49
CARMEN ZANOTTO,23900,0,0,5000,5000,0,0,0,0,0,0,0,0,0,0,0,0
CASILDO MALDANER,734961.93,0,0,473676.8,473676.8,0,23218.49,0,0,0,0,0,909589.47,0,0,0,909589.47
CASSIO CUNHA LIMA,0,108018,0,4684.8,4684.8,0,0,0,0,0,108018,0,1068377.55,326471.5,0,0,1068377.55
CELIO SILVEIRA,0,0,0,0,0,0,6250,0,0,0,0,0,6415.41,0,0,0,6415.41
CELSO JACOB,0,0,0,0,0,0,0,0,0,0,0,74897.96,64305.41,236176.7,0,0,64305.41
CELSO MALDANER,363207.87,510216.91,0,71989.19,71989.19,0,782016.53,0,0,0,418920.94,0,751541.74,0,0,0,751541.74
CELSO RUSSOMANNO,0,0,0,0,0,0,0,0,0,0,0,0,0,3500,0,0,0
CESAR COLNAGO,1094846.16,2650,0,67000,67000,0,247883.77,25000,0,0,0,0,10312.45,620,25000,0,10312.45
CESAR HALUM,203167,0,0,466318.1,466318.1,0,42375,0,0,0,0,500,396171.79,0,0,0,396171.79
CESAR MESSIAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CESAR SOUZA,6250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEZAR SILVESTRE,0,0,0,0,0,0,17500,0,0,0,0,0,56328,0,0,0,56328
CHICO ALENCAR,0,0,0,0,0,0,0,267061.2,0,0,0,57255,0,0,267061.2,0,0
CHICO D'ANGELO,0,0,0,0,0,0,0,0,0,0,0,0,148200,0,0,0,148200
CHICO DAS VERDURAS,0,0,0,0,0,104960.38,0,0,0,0,0,0,0,0,0,0,0
CHICO LOPES,55000,1002,11000,0,0,0,721721.21,0,11000,11000,0,61827.13,968510.23,0,0,0,979510.23
CHRISTIANE DE SOUZA YARED,38406.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CICERO ALMEIDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CICERO LUCENA,0,0,0,0,0,0,0,0,0,0,0,0,72431.1,2850,0,0,72431.1
CIDA BORGHETTI,0,14714.78,0,216847.65,241069.65,0,151328.04,0,0,0,0,45000,911902.63,12310.62,0,0,911902.63
CIDINHO SANTOS,0,0,0,32398,32398,0,0,0,0,0,0,202991.58,173332.91,0,0,0,173332.91
CIRO NOGUEIRA,0,0,0,0,0,0,0,0,0,0,0,153214.96,2375893.81,0,0,0,2375893.81
CLAUDIO CAJADO,339108.94,0,24826.53,151160.82,151160.82,0,131641.25,0,16326.53,16326.53,0,52960,259603.74,1000,0,0,275930.27
CLAUDIO PUTY,0,84782.34,0,0,0,0,0,0,0,0,84782.34,0,302215.57,0,0,0,302215.57
CLEBER VERDE,0,0,0,158326.73,158326.73,0,1000,0,0,0,0,185056.74,15100,0,0,0,15100
CLESIO ANDRADE,0,0,0,0,0,0,0,0,0,0,0,0,0,3178.16,0,0,0
COLBERT MARTINS,37375,0,0,8750,8750,0,0,0,0,0,0,0,3361.16,0,0,0,3361.16
COMISSAO DE DESENVOLVIMENTO REGIONAL E TURISMO - CDR,0,0,113000,1351028.69,1351028.69,0,0,0,113000,113000,0,0,0,0,0,0,113000
COMISSAO DE DESENVOLVIMENTO URBANO - CDU,0,0,0,0,0,0,0,0,0,0,0,0,7093067.38,0,0,0,7093067.38
"COMISSAO DE INTEGRACAO NACIONAL, DESENVOLVIMENTO REGIONAL E DA AMAZONIA - CINDRA",0,0,178897.3,0,0,0,0,0,178897.3,178897.3,0,0,0,0,0,0,178897.3
"COMISSAO MISTA DE PLANOS, ORCAMENTOS PUBLICOS E FISCALIZACAO",1806068.45,1450661.78,2967049.47,563038.36,563038.36,4837037.92,267615.15,1735345.13,2953949.47,2940549.47,947554.39,1964533.72,8940475.2,2553675.56,1735345.13,50000,11881024.67
COSTA FERREIRA,12500,0,0,103135.07,103135.07,0,0,0,0,0,0,48929.75,48800,0,0,0,48800
COVATTI FILHO,26100,0,0,48312.5,48312.5,0,37500,0,0,0,0,0,23450,900,0,0,23450
CRISTOVAM BUARQUE,0,90000,0,0,0,0,0,73799.85,0,0,0,0,0,0,73799.85,0,0
CYRO MIRANDA,31750,199000,0,6250,6250,0,0,0,0,0,0,0,179014.44,0,0,0,179014.44
DALIRIO BEBER,50750,0,0,0,0,0,0,0,0,0,0,0,2031.92,0,0,0,2031.92
DALVA FIGUEIREDO,0,0,0,0,30619.52,235312.52,0,0,0,0,0,75000,0,0,0,0,0
DAMIAO FELICIANO,89245,0,0,114683.24,114683.24,0,356592.9,0,0,0,0,13552,23410.45,20000,0,0,23410.45
DAMINA PEREIRA,7500,0,0,62500,62500,0,35258.87,0,0,0,0,0,0,0,0,0,0
DANIEL ALMEIDA,19078.95,630177,0,23500,23500,0,85008.81,0,0,0,630177,23464.93,231172.51,0,0,0,231172.51
DANIEL COELHO,0,0,0,0,0,0,0,0,0,0,0,0,15798,0,0,0,15798
DANIEL VILELA,32250,0,0,105118.82,105118.82,0,20449.62,0,0,0,0,0,4700,0,0,0,4700
DANILO CABRAL,337500,0,0,0,0,0,0,0,0,0,0,0,7521,0,0,0,7521
DANILO FORTE,211029.86,0,9000,85408.5,85408.5,0,267654.33,0,9000,9000,0,393485.25,148879.65,0,0,0,157879.65
DANRLEI DE DEUS HINTERHOLZ,538507,0,0,33250,33250,0,760619.17,0,0,0,0,175000,349310.83,292478.24,0,0,349310.83
DARCISIO PERONDI,1740631.42,51990,37788,75814.85,98314.85,0,358116.89,0,0,0,0,0,685450.62,18600,0,0,685450.62
DARIO BERGER,282775.75,0,0,13952.19,13952.19,0,0,0,0,0,0,0,0,0,0,0,0
DAVI ALCOLUMBRE,0,0,0,0,0,518046.22,0,30000,0,0,0,0,0,0,30000,0,0
DAVI ALVES SILVA JUNIOR,50224.24,0,0,0,0,0,0,0,0,0,0,0,53947.58,0,0,0,53947.58
DAVIDSON MAGALHAES,0,0,0,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0
DECIO LIMA,0,1613788.79,0,170471.49,170471.49,0,157676.11,0,0,0,1470655.51,0,1948945.57,25000,0,0,1948945.57
DELCIDIO DO AMARAL,0,283200,0,120623.65,123327.61,0,510413.33,0,0,0,283200,0,1911146.78,885676.84,0,0,1911146.78
DELEGADO EDER MAURO,0,0,0,0,0,0,0,0,0,0,0,0,79008,0,0,0,79008
DELEGADO EDSON MOREIRA,0,0,0,0,0,0,9801.84,0,0,0,0,0,0,1.12,0,0,0
DELEGADO PROTOGENES,0,0,36800,20733.44,210149.24,0,644799.87,10000,0,0,0,255072.89,833052.63,0,10000,0,833052.63
DELEGADO WALDIR,2500,0,0,0,0,0,0,0,0,0,0,0,7950,0,0,0,7950
DELEY,0,107500,0,0,0,0,84813.4,0,0,0,0,0,170483.99,0,0,0,170483.99
DEVANIR RIBEIRO,75981.5,0,0,31144.64,41074.64,0,0,0,0,0,0,40000,1204732.02,150,0,0,1204732.02
DIEGO ANDRADE,387153.72,0,0,34888.4,34888.4,0,661149.1,0,0,0,0,0,181995.33,210.92,0,0,181995.33
DIEGO GARCIA,44667,94000,0,13136.47,13136.47,0,27250,0,0,0,0,0,4150,0,0,0,4150
DILCEU SPERAFICO,913307.07,395358.94,51125,32250,48250,0,448221.72,0,51125,70730.44,159998,33000,611783.65,0,0,0,662908.65
DIMAS FABIANO,388420.22,260959.55,5e+05,0,0,0,163973.81,0,0,0,260959.55,0,509062.98,32750,0,0,509062.98
DOMINGOS DUTRA,97500,125371.97,1e+05,12500,12500,0,37500,0,0,0,125371.97,32000,54774,20000,0,0,54774
DOMINGOS NETO,87020,0,54496.7,8813.85,180371.95,0,0,0,54496.7,54496.7,0,123904.12,0,0,0,0,54496.7
DOMINGOS SAVIO,172582.18,0,0,0,0,0,43214.4,558375.25,0,0,0,157771.33,742806.77,15750,558375.25,0,742806.77
DONIZETI NOGUEIRA,2000,0,0,0,0,0,0,0,0,0,0,36542.55,0,0,0,0,0
